"Count","Frequency","User"
"1","593","[Sir.Chefcoq, Sandeep M, fantaghirocco, zoesnape, JonyD, improbable, rimesc, Marvo, Mordechai, Bastian Hologne, Nate T, Paulo Lopes, MercyBeaucou, Gyro Gearless, CrazyCoder, Denis Tulskiy, Ralf, Garry Polley, Sotirios Delimanolis, scrblnrd3, Ola Ström, Jeroen Vannevel, user3656823, Michael Konietzka, WebComer, Harikrushna Patel, qqibrow, Timothy Truckle, Woodchuck, PrevinBogopa, gvlasov, cvdr, BalusC, Karl Knechtel, Oleg Sklyar, user2201536, Evan Grim, Caffeine Coder, Gabriel Magana, Brad, Miguel, Rurien, Navin Kumar, Tobias Johansson, Machado, GreyBeardedGeek, Alistair A. Israel, DKV, Marek F, Brooklyn99, Dherik, Amadan, Angelina, JackTheKnife, boardtc, Exadra37, Kalpesh Soni, Dave Goodchild, th3morg, Sergey Emeliyanov, Brett, Jörn Horstmann, edin-m, flounder, BJ5, leonardo, Trianglecode39, Rajni Gangwar, Maurice, dimizuno, Donald Kagunila, Marc Nuri, Piotr P. Karwasz, lhw1995, Alexander Gorodilov, Ryabinin Sergey, oruckdeschel, Old Dog Programmer, Sandun, Nakarukatoshi Uzumaki, James R. Perkins, Aaron Digulla, exic, Guy, khmarbaise, Sukhbir, Ishan, Tom, ismoore999, Marc B, krizajb, Guy Hutchison, zdenda.online, Rondo, Aman Sehgal, QuinncyJones, stdunbar, FluffyKitten, ajb, Aurinxki, shmosel, oleg.cherednik, fandango, Asiri Hewage, johanneslink, SztefanWons, susan097, Prabhakar Reddy, klimat, vikzilla, cody.tv.weber, Guillaume F., tgkprog, aboloza, ali, sandeep-prabhakula, 18446744073709551615, Guy Incognito, Hot Licks, Brian Campbell, shanraisshan, mohamed sherif, Mehraj Malik, DanielBarbarian, aioobe, Brkk, Ravi K Thapliyal, cyberbrain, arvindwill, saeid rasouli, myborobudur, Vladimir Kattsyn, Marius Manastireanu, Jan, BugFinder, mentallurg, Ya., Peter Wippermann, GhostCat, Damith Udayanga, PanHrabia, garyM, cquezel, Sonu Sanjeev, Shubhasish Bhunia, blueDexter, Christian Tapia, shi9, avi.elkharrat, flash, JL_SO, ryanlee, CodeWorld, Breandán Dalton, Иван Абоян, Manu, Hatim Shabbir, Nevermore, Nikita Kobtsev, Amit, Meet Maheshwari, M. Justin, spyro, Chandima, Stephan, Juan Monsalve, Tobias, Halfstop, Stefan L, Jeffery Ma, Arundev, Phantômaxx, P.An, Randall Fairman, Harry King, Praveen Kumar K S, Alonso del Arte, Shalu Gupta, Seng Gie Chung, Raedwald, MonkeyWrench, tobltobs, Luca Basso Ricci, KareemJ, chabeee, bpedroso, towi, Madman, Prabu R, Andy Turner, Mark, Micro, jwy205, Jeremy Caney, Electric Coffee, stark, jarlh, Nick Holt, Tim Moore, prashant thakre, Maurice Perry, zaid khan, Shaharg, Mason T., Roeland Van Heddegem, Oliver, ninjaxelite, JavaSheriff, BackSlash, geocodezip, Emre Savcı, Xiaojun Chen, ani0904071, Nikhil Agrawal, cellepo, ameer zeya, Jan Groth, Anthony Grist, Dennis Meng, maloomeister, Saroj Kumar Sahoo, Code-Apprentice, Jason Wheeler, Jared Burgett, Thomas Carlisle, Michael Berry, Andrea Del Bene, sajjadG, flame3, Thor, Marko Delic, Vinu Polly, Philippe Fanaro, Sandeep Kumar, k314159, sorifiend, SilverNak, Jannik, manish, Ahmed Nabil, demuro1, Jayakumar Thangavel, DocMax, Subodh Nijsure, eliteproxy, dcasadevall, axnet, Likoed, Florakel, dave_thompson_085, sdabet, J Sanchez, Francesco, Nick Dong, Bryn, TanvirChowdhury, electrobabe, RvPr, Joe, Tom Bunting, Celeste Capece, Queeg, Jos, theprogrammer, user619804, Mehrdad Faraji, Vilmantas Baranauskas, J A S K I E R, Joachim Sauer, Tomáš Záluský, jewelsea, Emil, MainActivity, Abhinav Singhal, Jörg Rech, KC Wong, Victor, Lutosław, Alejandro Sanchez, Slomas99, Suresh Atta, Jack, ssimm, Artanis Zeratul, Piotr Żak, BairDev, zhiguang, siddhusingh, aName, Olivier, bvdb, Aniruddhsinh, TheFunk, GrIsHu, Simon, brainfrozen, Ben Manes, meniluca, UllaBritta, Philippe, fnymmm, Ben Turner, Talik, Alraj, Val Martinez, sascha10000, Shivam Oberoi, swooby, Bill the Lizard, bc a, rossum, behelit, David Kobia, Park JongBum, Peter Pan, SydMK, gilmel, sp00m, Loren, maximus, Jonas Gröger, Priyank Thakkar, niken, Vijay Shegokar, Mahmud Mridul, Stone, clever_bassi, Entwickler Witze, CHY, Andy Weinstein, Age Mooij, Cássio Morales, Aníbal, jkerak, Manuel Jordan, Hank, enkara, Gastón Schabas, billjamesdev, Josh M, Romeo Sierra, foo, Tamim Attafi, Sasaki Haise, Alexandros Nikoloutsos, YoannFleuryDev, Fairoz, dextertron_, Sergey Bespalov, powder366, John Deverall, Maheshbabu Jammula, Twitter khuong291, Spina, Martijn Pieters, dgraf, pazfernando, Nathan Hughes, emkays, derpirscher, CBA110, Avinash Lahel, Francis Gagnon, Karthik, saw303, Vipul Kumar, Ferran Maylinch, Filipp Voronov, eeezyy, DoNuT, shole, vanduc1102, angryITguy, TobiStraub, VinnyD, Rahul Raj, TomR, Matsu Q., Nikos Paraskevopoulos, Astonvish32, Zuned Ahmed, Sudhir N, mal, Taslim Oseni, Mojtaba Mahamed, randomuser1, Manish Bansal, eskatos, Grigory Kislin, Jacek Laskowski, mikoto, ZootHii, SparkleGoat, Ilja S., Boris the Spider, Elist, bachr, Aleksei Nikolaevich, Capn Sparrow, Awanish Raj, daniel, K J, Martin Schröder, Emanuel Trandafir, TheCoffeeCup, takendarkk, Kay, Easty77, rgettman, Boris Pavlović, frewper, ptstone, shawnest, sanastasiadis, Display Name, mcnk, CoderMusgrove, Patrick Parker, Charismatic, akseli, Vadym Tyemirov, Gordon Bean, Lucas, Caleb Adams, DwB, Zippy, Vasilije Bursac, Bustanil Arifin, c-an, Vering, wilmol, mahimahimahi, talex, Ralph, Harald K, MusikPolice, Mirror318, gidds, Oli, jAC, Ara Kokeba, Ivan, Hamza Hanif, k-thorat, Michaela Elschner, xiaoming wang, Janac Meena, Uncle Iroh, bluelurker, Rui Menoita, Jubs Eest, Neeraj Gahlawat, Saubhagya Kushwaha, Dinh Quang Tuan, Ryan Augustine, Sham Fiorin, Tal Angel, NetL, Pemba Tamang, apangin, Dave Jarvis, Thom A, george, Biscuit128, Benoit Vanalderweireldt, Michael Greene, Viraj Nimbalkar, G_V, Thomas, Berkin, Arvind Kumar Avinash, mahee96, Miss Skooter, titusfortner, Abhishek, wildcat12, greg-449, Narahari B M, Destroy666, Xax, JialeDu, minzchickenflavor, Jack BeNimble, notacorn, ravenspoint, Alirezak, olmerg, EpicAdidash, Michael Scott, Roie Beck, Peng, prayagupa, omiwrench, gerardw, Shashank Kadne, bence.kovacs, Archer, tkruse, AgentP, Isuru Perera, xtratic, Stack Underflow, Roland Weisleder, stoneshishang, ʀᴀʜɪʟ, Danielson Alves Júnior, Botje, T.J. Crowder, Gabe Sechan, Riggster, marc, kkrugler, Macil, jason, user1697575, BendaThierry.com, vaquar khan, Val, Othello, JJJ, Oleksandr Tarasenko, Encryption, Chris Neve, Sombriks, Kyle W. Cartmell, Dinux, boumbh, Ridwan, Tushar Banne, Mikhail Ionkin, zhoudu, GuilhermeA, Shin Kim, Anton Bondarenko, Betlista, jmizv, Semyon Kirekov, Compte Gmail, codename_zoe, F_SO_K, vishnu, Konstantin Annikov, Golden Boy, GriffoGoes, bdetweiler, ganeshk, mrk, lukas84, dominicoder, Shahid Hussain Abbasi, Steve, Gholamalih, G. Joe, carlspring, Austin Poole, Andreea Frincu, newhere, Nabil A., Chriki, 7 Reeds, Thiago Miranda de Oliveira, Prashant Prabhakar Singh, JavaQuest, kamasteve, Manas Kumar Maharana, Prashant Shubham, Martin Karari, 1_bug, Shadow Man, Kilves, tekHedd, SomeGuyOnAComputer, ritratt, Tapan Upadhyay, CodeClown42, vmaya003, Amine, jub0bs, Erick Audet, Skillz, mitchus, Cécile Fecherolle, Aurand, Rachel, VadzimV, Basilevs, Artfaith, Fermi-4, DevilsHnd, Roland, hemalatha karunakaran, a2k42, Zander Rootman]"
"2","151","[Kathirvel Subramanian, Saad Ahmed, ControlAltDel, Michael, user9532692, aran, Thilo, Alexey R., chrylis -cautiouslyoptimistic-, ethry, Brent Bradburn, Ajay Takur, DarkChocolate Reborn, jsosnowski, kaidentity, blurfus, Popeye, Cláudio Pinto, federicojasson, omidXxX, Nils Renaud, SerkanB, NickyPatel, Matthew Layton, gstackoverflow, Stephane Nicoll, Plainsage, akhil awesome, Thomas Johansen, Eric Postpischil, user85421, Josef Reichardt, A. K., Jacob J., Mureinik, kittu, howlger, Santanu Sur, ivan.sim, 001, Arefe, user140547, Hrishi Logani, assylias, JAYA CHANDRA N.B., Bill Mair, Lucas Hyou, Juvenik, ThePiGuy, Wallace Kelly, Andreea Badea, Samudrala Prasad, yang, Dragas, serkanozel, Ryan Zhu, Arashsoft, typeracer, ylmzzsy, Quick learner, Danylo Batyuk, markspace, am1704, Balázs Németh, TheRealChx101, sofianho, childofsoong, Masi Boo, Persimmonium, malthe, Jon Skeet, Daler, VGR, fge, Simon Goater, Mindaugas, Ivan Kuckir, newbie5050, thetypist, Andrey Shmelev, Luke Usherwood, Mr. Polywhirl, IgorGanapolsky, Kaplan, Koushik Roy, Hassen Gaaya, Abhijit Sarkar, ACV, Rohit Jain, user1050755, ArtOfWarfare, yatinbc, DontKnowMuchBut Getting Better, lucid, Samrat Dutta, nglauber, Bohemian, e-info128, CryptoFool, Seb Perp, dan1st, DuncG, kleopatra, Vladimir Dzhuvinov, Konrad Höffner, Stultuske, HKIT, Locoz, S.N, Alejandro Gonzalez, SomeGuy, Vedant Dixit, Yogesh, Volksman, R Sun, kay, user1068636, meriton, Willi Mentzel, tgdavies, Mohamed Niyaz Sirajudeen, Raphaël Colantonio, Paul Boddington, Doug Wilson, Comencau, Naor Bar, Didier L, lapots, GeertPt, Eric, Chris Mountford, Matt Wang, JHS, Iakov Senatov, Jasper Citi, Sweeper, Brian Liao, Feel free, Pawel, portsample, Vivek Jain, Hulk, JayKay, David Conrad, Radiodef, Shailesh Chandra, Bear, JPT, Sachin Sridhar, Rag, Rak]"
"3","55","[Myrat Orjyyev, Peter Cordes, Joop Eggen, Fazla Elahi Md Jubayer, expoter, JasonPlutext, Lal, Arfur Narf, Abdelrahman Ibrahim, rzwitserloot, thaveethu gce, Dave Newton, soMuchToLearnAndShare, Dawood ibn Kareem, John B, user2496503, Thorbjørn Ravn Andersen, Matt, Raj Malhotra, KJaeg, Farhood Naqizadeh, erickson, M. Deinum, Robert, f1sh, Aakash Patel, OneCricketeer, techie11, Ben, Chen Li, chiv, Joshua Powers, Oliver Hausler, Jake, devon, Mark Rotteveel, George Lords of Castle, Gili, Paul Samsotha, codenicks, Alex, supercat, cherouvim, Hariharan, mkl, Tilman Hausherr, Tushar, greybeard, Radu, djWann, Balaji Boggaram Ramanarayan, Gilbert Le Blanc, Langkiller, Tito, Ajith Kannan]"
"4","13","[deokyong song, ItzBaturalp Plays, Ozakriid, shanu, miyav miyav, aug, camickr, Chaosfire, Raghunandan, weston, Hovercraft Full Of Eels, WJS, Mar-Z]"
"5","13","[Morilla Thaisa, Kurtiss, freedev, Abra, Ravi Singh Shekhawat, Ole V.V., ch4mp, Slaw, John Williams, blackapps, Shog9, Rakesh, mPierce]"
"13","4","[Community, Reilas, Stephen C, Jim Garrison]"
"7","3","[Alexb1999, Holger, andrewJames]"
"6","2","[aled, SRVittal]"
"8","1","[user207421]"
"9","1","[g00se]"
