"Tag","Upvotes"
"string","46356"
"collections","37418"
"performance","34996"
"android","31696"
"arrays","27117"
"c++","26988"
"cpu-architecture","26988"
"branch-prediction","26988"
"java-8","19579"
"date","16836"
"arraylist","16494"
"spring","12766"
"dictionary","12551"
"io","12550"
"eclipse","11559"
"loops","11555"
"hashmap","11008"
"generics","10854"
"methods","10806"
"type-conversion","10230"
"multithreading","10172"
"iteration","10110"
"maven","9839"
"junit","9676"
"exception","9462"
"list","9272"
"unit-testing","9131"
"null","9093"
"nullpointerexception","9064"
"file-io","8748"
"timezone","8520"
"java-stream","8500"
"integer","8489"
"random","8434"
"initialization","8354"
"parameter-passing","8201"
"pass-by-value","8127"
"pass-by-reference","8127"
"reflection","7931"
"annotations","7764"
"mockito","7304"
"enums","7067"
"json","7000"
"inputstream","6634"
"hibernate","6624"
"maven-2","6196"
"intellij-idea","6190"
"stream","5801"
"file","5400"
"macos","5392"
"jvm","5243"
"memory","5201"
"char","5190"
"jackson","5028"
"jpa","4970"
"constructor","4960"
"operators","4798"
"private","4738"
"kotlin","4627"
"oop","4619"
"mocking","4578"
"spring-mvc","4548"
"for-loop","4444"
"static","4374"
"casting","4369"
"variable-assignment","4337"
"jsp","4275"
"hashtable","4271"
"memory-leaks","4219"
"ide","4215"
"interface","4196"
"sorting","4194"
"stringbuilder","4082"
"datetime","4062"
"split","4061"
"tostring","4055"
"tdd","4048"
"linked-list","4041"
"executable-jar","3979"
"usermanager","3977"
"orm","3914"
"serialization","3836"
"assignment-operator","3830"
"passwords","3810"
"security","3810"
"program-entry-point","3719"
"jar","3695"
"java-threads","3679"
"protected","3624"
"access-modifiers","3624"
"public","3624"
"text-files","3599"
"stack-trace","3567"
"build","3492"
"parameters","3476"
"android-networking","3409"
"formatting","3403"
"serialversionuid","3385"
"concatenation","3238"
"junit4","3234"
"concurrency","3223"
"error-handling","3214"
"terminology","3188"
"static-classes","3179"
"implements","3150"
"dependency-injection","3094"
"abstract-class","3056"
"class","3020"
"javadoc","3003"
"javabeans","2982"
"system.out","2968"
"httpurlconnection","2933"
"http","2932"
"runnable","2903"
"jakarta-ee","2887"
"static-methods","2854"
"build-automation","2843"
"servlets","2840"
"inheritance","2839"
"autowired","2813"
"time","2771"
"android-recyclerview","2768"
"assert","2704"
"networkonmainthread","2695"
"try-catch-finally","2665"
"return","2665"
"dependency-management","2664"
"design-patterns","2634"
"rounding","2624"
"lambda","2612"
"gradle","2569"
"overriding","2496"
"java-9","2494"
"installation","2481"
"dependencies","2460"
"keyword","2453"
"getter","2438"
"object","2427"
"unsupported-class-version","2390"
"foreach","2375"
"printing","2367"
"parsing","2317"
"inversion-of-control","2308"
"serializable","2308"
"final","2237"
"memory-management","2230"
"hashcode","2223"
"field","2185"
"android-intent","2141"
"httprequest","2113"
"urlconnection","2113"
"java-time","2110"
"java-native-interface","2107"
"optimization","2101"
"hashset","2097"
"default-parameters","2077"
"overloading","2077"
"spring-boot","2066"
"inner-classes","2049"
"nested-loops","2046"
"mvn-repo","2039"
"download","2034"
"out-of-memory","2026"
"heap-memory","2016"
"windows","1999"
"java-10","1988"
"alphanumeric","1949"
"set","1914"
"regex","1903"
"sleep","1895"
"wait","1895"
"hyperlink","1892"
"benchmarking","1875"
"android-asynctask","1838"
"command-line","1837"
"abstraction","1832"
"setter","1832"
"double","1779"
"scriptlet","1760"
"build.gradle","1759"
"stringbuffer","1727"
"url","1714"
"incompatibility","1713"
"syntactic-sugar","1707"
"directory","1703"
"md5","1653"
"hash","1649"
"debugging","1649"
"classpath","1643"
"transient","1629"
"package","1610"
"user-interface","1602"
"garbage-collection","1600"
"perfect-square","1598"
"math","1598"
"soa","1590"
"apache-camel","1590"
"enterprise-integration","1590"
"equals","1584"
"parallel-processing","1577"
"libraries","1567"
"sql","1565"
"add","1564"
"variadic-functions","1555"
"syntax","1542"
"spring-data","1537"
"text","1512"
"algorithm","1494"
"equality","1486"
"digits","1447"
"decimal","1447"
"wsdl","1408"
"unicode","1404"
"comments","1404"
"whitespace","1401"
"java-io","1349"
"manifest","1343"
"decompiler","1323"
"encoding","1316"
"superclass","1301"
"jakarta-mail","1292"
"checked-exceptions","1283"
"comparator","1271"
"iterator","1271"
"format","1252"
"session-variables","1246"
"instance-variables","1246"
"sdk","1236"
"windows-7-x64","1236"
"jdk6","1236"
"hbm2ddl","1235"
"idioms","1233"
"instantiation","1227"
"reverse-engineering","1214"
"java-7","1210"
"java-11","1203"
"jaxb","1203"
"zero-pad","1201"
"floating-point","1191"
"maven-3","1181"
"configuration","1180"
